nct_id,location,continent,iso
NCT05239221,Netherlands,Europe,NLD
NCT05241626,Egypt,Africa,EGY
NCT05242055,China,East Asia,CHN
NCT05264857,United States,North America,USA
NCT05280600,United Kingdom,Europe,GBR
NCT05290493,Canada,North America,CAN
NCT05290493,United States,North America,USA
NCT05299437,Italy,Europe,ITA
NCT05299632,United States,North America,USA
NCT05316922,Italy,Europe,ITA
NCT05329935,United States,North America,USA
NCT05345119,Italy,Europe,ITA
NCT05347082,Mexico,North America,MEX
NCT05377736,Denmark,Europe,DNK
NCT02378233,Sweden,Europe,SWE
NCT02742597,Canada,North America,CAN
NCT02789800,Canada,North America,CAN
NCT02966405,China,East Asia,CHN
NCT03149354,France,Europe,FRA
NCT03922087,China,East Asia,CHN
NCT03932487,China,East Asia,CHN
NCT04019509,Belgium,Europe,BEL
NCT04208503,Poland,Europe,POL
NCT04388956,Taiwan,East Asia,TWN
NCT04571736,France,Europe,FRA
NCT04585126,France,Europe,FRA
NCT04615988,United States,North America,USA
NCT04658524,Brazil,South America,BRA
NCT04708704,United States,North America,USA
NCT04936698,Taiwan,East Asia,TWN
NCT04991493,China,East Asia,CHN
NCT05016518,"Korea, Republic of",East Asia,KOR
NCT05103774,Egypt,Africa,EGY
NCT05126108,France,Europe,FRA
NCT05151120,France,Europe,FRA
NCT05251194,"Korea, Republic of",East Asia,KOR
NCT05323539,Turkey,Middle East,TUR
NCT00001160,United States,North America,USA
NCT00001242,United States,North America,USA
NCT00001304,United States,North America,USA
NCT00001394,United States,North America,USA
NCT00001730,United States,North America,USA
NCT00006329,United States,North America,USA
NCT00080574,United States,North America,USA
NCT00094055,United States,North America,USA
NCT00098345,France,Europe,FRA
NCT00098345,United States,North America,USA
NCT00111735,Australia,Pacifica,AUS
NCT00115739,United States,North America,USA
NCT00115895,Finland,Europe,FIN
NCT00123760,Canada,North America,CAN
NCT00124527,Argentina,South America,ARG
NCT00124527,France,Europe,FRA
NCT00124527,Peru,South America,PER
NCT00124527,Russian Federation,North Asia,RUS
NCT00124527,Ukraine,Europe,UKR
NCT00124527,United States,North America,USA
NCT00126568,United States,North America,USA
NCT00144079,Austria,Europe,AUT
NCT00144079,Germany,Europe,DEU
NCT00144079,Switzerland,Europe,CHE
NCT00148213,Germany,Europe,DEU
