index,nct_id,category_age
1579,NCT02341417,[18-65]
1584,NCT02352766,[18-65]
1584,NCT02352766,[65 and more]
1587,NCT02373995,[18-65]
1587,NCT02373995,[65 and more]
1596,NCT02376088,[18-65]
1596,NCT02376088,[65 and more]
1598,NCT02378298,[18-65]
1598,NCT02378298,[65 and more]
1602,NCT02381457,[18-65]
1605,NCT02381925,[18-65]
1605,NCT02381925,[65 and more]
1609,NCT02384668,[18-65]
1609,NCT02384668,[65 and more]
1614,NCT02393183,[18-65]
1614,NCT02393183,[65 and more]
1619,NCT02393690,[18-65]
1619,NCT02393690,[65 and more]
1621,NCT02397109,[18-65]
1621,NCT02397109,[65 and more]
1625,NCT02398721,[18-65]
1625,NCT02398721,[65 and more]
1627,NCT02399475,[65 and more]
1630,NCT02408887,[18-65]
1630,NCT02408887,[65 and more]
1632,NCT02410928,[18-65]
1632,NCT02410928,[65 and more]
1639,NCT02417389,[18-65]
1639,NCT02417389,[65 and more]
1643,NCT02422368,[18-65]
